Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
202144,,15,,58,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/2-13UNC,ZINC PLATED [GR.5],0.0704,,202144,Inch Fastener,Nut & Washer,E_AB_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
200093,,2,,58,,,,EA,B,HEX.SOC.SET SCREW CUP POINT,"5/16-18UNC X 2.000""",ZINC PLATED [A574],0.2881,,200093,Inch Fastener,Hex.Socket Head Product,VP_0.313-18X2.000.PAR,par,,50,7,FASTENAL CANADA LTD.(CAD)(KITC,
24102425,,28,,58,,,,EA,B,WASHER;FLAT M8,16MM OD;ZINC PLATED[GR.5],DIN 125A,0.0099,,24102425,Metric Fastener,Nut & Washer,RP_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102247,,2,,58,,,,EA,B,HEX.JAM NUT,3/8-16UNC,ZINC PLATED [GR.5],0.0193,,24102247,Inch Fastener,Nut & Washer,E_CE_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101598,,16,,58,,,,EA,B,HEX.SOC.CAP SCREW,"1/4-20UNC X 1.000""",ZINC PLATED [A574],0.0518,,24101598,Inch Fastener,Hex.Socket Head Product,VTCY_0.250-20X1.000.p,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101597,,16,,58,,,,EA,B,HEX.SOC.CAP SCREW,"1/4-20UNC X 0.750""",ZINC PLATED [A574],0.0327,,24101597,Inch Fastener,Hex.Socket Head Product,VTCY_0.250-20X0.750.p,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101588,,12,,58,,,,EA,B,HEX.SOC.CAP SCREW,"#8-32UNC X 0.500""",ZINC PLATED [A574],0.0239,,24101588,Inch Fastener,Hex.Socket Head Product,VTCY_0.164-32X0.500.p,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,4,,58,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101210,,2,,58,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 70MM,ZINC PLATED [CL8.8],0.2264,,24101210,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X070_CLS,50x070_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101202,,8,,58,,,,EA,B,HEX.HD.CAP SCREW,M8-1.25 X 40MM,ZINC PLATED [CL8.8],0.0676,,24101202,Metric Fastener,Hex.Head Product & Screw,VTHE_M08-1.25X040_CLS,25x040_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100827,,2,,58,,,,EA,B,HEX.JAM NUT,1/2-20UNF,ZINC PLATED [GR.5],0.0691,,24100827,Inch Fastener,Nut & Washer,E_CE_0.500-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
